ADC,Temp_datasheet_C,Temp_refit_cubic_C,Refit_minus_datasheet_C
207,-14.012677245059837,-14.745892467376336,-0.7332152223164989
208,-14.532214594467451,-15.371668197188,-0.8394536027205497
209,-15.060380181649263,-16.006285092189074,-0.9459049105398112
210,-15.59757815001798,-16.649873146931924,-1.0522949969139432
211,-16.14423953113133,-17.30256235596923,-1.1583228248378994
212,-16.700824724688925,-17.96448271385347,-1.263657989164546
213,-17.267826270200825,-18.635764215137044,-1.3679379449362195
214,-17.845771952516102,-19.316536854372657,-1.4707649018565547
215,-18.435228290692734,-20.006930626112677,-1.5717023354199426
216,-19.036804468463608,-20.70707552490964,-1.6702710564460332
217,-19.651156775148124,-21.4171015453162,-1.7659447701680762
218,-20.26510413913104,-22.13713868188475,-1.8720345427537097
219,-20.875225969520265,-22.867316929167856,-1.9920909596475909
220,-21.49967850223983,-23.607766281717943,-2.1080877794781117
221,-22.139319349106135,-24.358616734087633,-2.2192973849814983
222,-22.795082572730568,-25.11999828082955,-2.324915708098981
223,-23.467988106247706,-25.892040916495944,-2.424052810248238
224,-24.159152668779136,-26.674874635639583,-2.515721966860447
225,-24.869802471048846,-27.468629432812747,-2.5988269617639013
226,-25.60128807547604,-28.273435302568117,-2.6721472270920756
227,-26.355101864619726,-29.0894222394582,-2.7343203748384752
228,-27.132898687471624,-29.916720238035623,-2.7838215505639994
229,-27.9365204036549,-30.755459292852493,-2.818938889197593
230,-28.76802524342692,-31.605769398461803,-2.8377441550348834
231,-29.629723163897644,-32.46778054941586,-2.838057385518219
232,-30.498502308090323,-33.341622740267155,-2.843120432176832
233,-31.38311241725375,-34.22742596556827,-2.844313548314524
234,-32.30491631429296,-35.125320219871696,-2.820403905578736
235,-33.2675802006369,-36.03543549773002,-2.7678552970931207
236,-34.275334294199766,-36.95790179369567,-2.682567499495903
237,-35.33309492207415,-37.89284910232112,-2.559754180246969
238,-36.446621546891535,-38.84040741815903,-2.3937858712674966
239,-37.622721453295284,-39.800706735761935,-2.1779852824666506
240,-38.86952058160258,-40.77387704968214,-1.9043564680795626
241,-40.19682794371155,-41.76004835447242,-1.56322041076087
242,-41.61663532400466,-42.75935064468507,-1.1427153206804093
243,-43.14381740107244,-43.77191391487281,-0.6280965138003722
244,-44.797137231014524,-44.797868159588006,-0.0007309285734820037
245,-46.60073232000715,-45.83734337338319,0.7633889466239552
246,-48.58638634953816,-46.890469550810906,1.6959167987272536
247,-50.7971445546645,-47.9573766864238,2.839767868240699
248,-53.29335597064138,-49.03819477477418,4.2551611958671955
249,-56.163404995801244,-50.13305381041471,6.030351185386536
250,-59.544316003055854,-51.24208378789797,8.302232215157886
251,-63.665643196198886,-52.3654147017761,11.300228494422782
252,-68.95772027132563,-53.50317654660216,15.454543724723464
253,-76.3866600272168,-54.655499316928285,21.73116071028852
254,-89.03524700746411,-55.82251300730695,33.212734000157155
255,-339.78607628931735,-57.00434761229104,282.7817286770263
